Вопрос,Keyword,TF-IDF rank,BM25 rank,FAISS rank,TF-IDF MRR,BM25 MRR,FAISS MRR
Как ухаживать за жирной кожей утром?,жирн,1.0,1.0,1,1.0,1.0,1.0
Что такое ретинол и как его применять?,ретинол,1.0,1.0,1,1.0,1.0,1.0
Какой SPF выбрать летом?,spf,1.0,1.0,1,1.0,1.0,1.0
Как питание влияет на состояние кожи?,питани,1.0,1.0,1,1.0,1.0,1.0
Уход за волосами при сухости и ломкости,волос,3.0,,1,0.333,0.0,1.0
Как убрать пигментные пятна?,пигментац,1.0,,1,1.0,0.0,1.0
Что такое гиалуроновая кислота в косметике?,гиалурон,1.0,1.0,1,1.0,1.0,1.0
Маски для лица — как часто делать?,маск,2.0,2.0,1,0.5,0.5,1.0
Витамин C в уходе за кожей,витамин c,1.0,1.0,1,1.0,1.0,1.0
Как правильно умываться при чувствительной коже?,чувствительн,1.0,1.0,1,1.0,1.0,1.0
Уход за кожей тела — основные правила,тел,1.0,2.0,2,1.0,0.5,0.5
Как работает скраб для кожи?,скраб,,,1,0.0,0.0,1.0
